States ,,Scheme_Name,,,,,,,Description,,,,,,,,,,Eligibilty_criteria,,,,,,,,,,,,,,,Tags,,,,,,,,Links
All,,Chief Minister Floriculture Mission,,,,,,,"To provide planting materials, required quanitity of shade net and one garden tool kit as Govt.share",,,,,,,,,,"Personal identity: Adhaar,State: All,occupation: farmer,Register:land,caste: sc/st, Age: 18 yrs+, Gender: Both,ownership:yes",,,,,,,,,,,,,,,"any area, unemployed youth, own land, sc , st,Chief Minister Floriculture Mission",,,,,,,,https://www.myscheme.gov.in/schemes/cmfm
Chattisgarh,,Godhan Nyay Yojana,,,,,,,To increase the income of cattle herders and creation of new employment opportunities,,,,,,,,,,"Personal identity: Adhaar,State: chattisgarh,occupation: farmer,Register:land,caste: all, Age: 18 yrs+, Gender: Both,ownership:yes",,,,,,,,,,,,,,,"18, Age, Chattisgarh,cattle, cattle-herder,godhan nyay yojana",,,,,,,,https://www.myscheme.gov.in/schemes/gny
Gujarat,,AGR(Farm Mechanization) ,,,,,,,To get beneficial assistance for the purchase of agricultural equipment/components ,,,,,,,,,,"Personal identity: Adhaar Card,State: Gujarat, Register: livestock, Occupation: farmer, cast: st,Age: __,Gender: both,ownership:__",,,,,,,,,,,,,,,"Gujarat, st, farmer,gujarat-taluka, AGR",,,,,,,,https://www.myscheme.gov.in/schemes/agr3fmsstf
Gujarat,,Krushi Mahotsav,,,,,,,"to provide guidance on Scientific farming, Organic farming, Farm mechanization, Micro Irrigation, Crop Value addition ;",,,,,,,,,," Personal identity: Adhaar,State: Gujarat,occupation:farmer,Register:land,caste:all,age:all,gender:both ,ownership:yes",,,,,,,,,,,,,,,"Gujarat, Agriculture,Education,Farm ,Mechanization,Scientific Farming,Training",,,,,,,,https://www.myscheme.gov.in/schemes/km
All,,Kisan credit card,,,,,,,the objective of providing adequate and timely credit to the farmers for their agricultural operations.,,,,,,,,,,"Personal identity: Adhaar,State: all,occupation: farmer,Register:land,caste: all, Age: 18 yrs+, Gender: Both,ownership:no",,,,,,,,,,,,,,,"central,Credit card, kisan",,,,,,,,https://www.myscheme.gov.in/schemes/kcc
karnataka,,Krushy Aranya Protsaha Yojane ,,,,,,,to promote the cooperation of farmers and the general public in the task of increasing forest and tree cover.,,,,,,,,,,"Personal identity: Adhaar,State: karnataka,occupation: farmer,Register:land,caste: all, Age: 18 yrs+, Gender: Both,ownership:yes",,,,,,,,,,,,,,,"Farmers, Forest,Karnataka,Subsidy On Seedlings,Tree Plantation",,,,,,,,https://www.myscheme.gov.in/schemes/karpy
All,,Chief Minister Floriculture Mission,,,,,,,"Govt. will provide planting materials, required quantity of shade net and one garden tool kit as Govt. share",,,,,,,,,,"Personal identity: Adhaar,State: all,occupation: farmer,Register:land,caste: all, Age: All, Gender: Both,ownership:yes",,,,,,,,,,,,,,,"central,Cultivation,Farmer,Marketing,Trainning",,,,,,,,https://www.myscheme.gov.in/schemes/cmfm
Chattisgarh,,Saur Sujala Yojana,,,,,,,The Saur Sujala Yojana is to set up solar irrigation pumps for the irrigation needs of the farmers.,,,,,,,,,,"Personal identity: Adhaar,State: chattisgarh,occupation: farmer,Register:land,caste: all, Age: All, Gender: Both,ownership:yes",,,,,,,,,,,,,,,"chattisgarh,EmpowerFarmers,Renewable Energy,Solar Irrigation Pumps,Subsidy",,,,,,,,https://www.myscheme.gov.in/schemes/ssyc
Gujarat,,Stipend Scheme For Scheduled Tribes - Poultry Training Stipend,,,,,,,to raise the income of poultry farmers of Schedule Tribes through scientific poultry farming training,,,,,,,,,,"Personal identity: Adhaar,State: Gujarat,occupation: farmer,Register:land,caste: sc/st, Age: 18 yrs+, Gender: Both,ownership:yes",,,,,,,,,,,,,,,"gujarat,Cash Assistance,Poultry Farming,Scheduled Tribe,StipendTraining",,,,,,,,https://www.myscheme.gov.in/schemes/ssst-pts
Arunachal Pradesh ,,Atma Nirbhar Krishi Yojana,,,,,,,launched by the Chief Minister of Arunachal Pradesh with the aim of promoting self-reliance in the agriculture sector.,,,,,,,,,,"Personal identity: Adhaar,State: Arunachal Pradesh,,occupation: farmer,Register:land,caste: all, Age: 18 yrs+, Gender: Both,ownership:yes",,,,,,,,,,,,,,,"arunachal pradesh, Empowerment,Farmers,Sustainability",,,,,,,,https://www.myscheme.gov.in/schemes/anky
Arunachal Pradesh ,,Atma Nirbhar Bagwani Yojana,,,,,,,an umbrella scheme where all schemes are subsumed under a bank-linked credit scheme which has a time bound implementation/participation from various stakeholders ,,,,,,,,,,"Personal identity: Adhaar,State: Arunachal Pradesh,,occupation: farmer,Register:land,caste: all, Age:all, Gender: Both,ownership:yes",,,,,,,,,,,,,,,"arunachal pradesh,Farmers,Subsidy,Umbrella Scheme",,,,,,,,https://www.myscheme.gov.in/schemes/anby
Gujarat,,Mukhya Mantri Mahila Kisan Sashaktikaran Yojana,,,,,,," holistic approach towards the development of women farmers, including improving their access to inputs, credit, technology, and market.",,,,,,,,,,"Personal identity: Adhaar,State: Gujarat,occupation: farmer,Register:land,caste: all, Age: 18 yrs+, Gender: Women,ownership:yes",,,,,,,,,,,,,,,"gujarat,kisan,Mahila,Mukhya Mantri,Sashaktikaran Yojana",,,,,,,,https://www.myscheme.gov.in/schemes/mmksy
Rajasthan,,Zero Budget Natural Farming,,,,,,,"Zero Budget Natural Farming is natural farming based on cow-products (cow urine, dung) produced by indigenous cows.",,,,,,,,,,"Personal identity: Adhaar,State: Rajasthan,occupation: farmer,Register:land,caste: all, Age: 35 yrs+, Gender: Both,ownership:yes",,,,,,,,,,,,,,,"rajasthan,Agriculture,Farmer,Low Cost ,FarmingTraining",,,,,,,,https://www.myscheme.gov.in/schemes/zbnf
Chattisgarh,,Rajiv Gandhi Kisan Nyay Yojana,,,,,,,The main objective of this scheme is to increase the agricultural area by encouraging the farmers for crop production.,,,,,,,,,,"Personal identity: Adhaar,State: chattisgarh,occupation: farmer,Register:land,caste: all, Age: 18 yrs+, Gender: Both,ownership:yes",,,,,,,,,,,,,,,"chattisgarh,Agriculture,Farmers,Maize,Paddy",,,,,,,,https://www.myscheme.gov.in/schemes/rgkny
